name,ticker,type,freq,field,desc
创业板,159915.SZ,ETF,D,nav_adj,创业板ETF
沪深300,510310.SH,ETF,D,nav_adj,沪深300ETF
中证500,510500.SH,ETF,D,nav_adj,中证500ETF
中证1000,512100.SH,ETF,D,nav_adj,中证1000ETF
红利,510880.SH,ETF,D,nav_adj,红利ETF
红利低波,512890.SH,ETF,D,nav_adj,红利低波ETF
自由现金流,159399.SZ,ETF,D,nav_adj,自由现金流ETF
黄金,518880.SH,ETF,D,nav_adj,黄金ETF
有色,159980.SZ,ETF,D,nav_adj,有色金属ETF
国债30年,511090.SH,ETF,D,nav_adj,国债30年ETF
标普500,513500.SH,ETF,D,nav_adj,标普500ETF
纳指100,513100.SH,ETF,D,nav_adj,纳指100ETF
中证商品指数,100001.CCI,Index,D,close,中证商品指数
量化中性,CI013003.WI,Index,D,close,量化中性指数
现金,M0220163,Index,D,close,现金类
信用债3-5年,CBA01931.CS,Index,D,close,信用债3-5年指数
信用债0-1年,CBA01911.CS,Index,D,close,信用债0-1年指数
信用债1-3年,CBA01921.CS,Index,D,close,信用债1-3年指数
中债新综合财富总值指数,CBA00101.CS,Index,D,close,中债新综合指数
